Timestamp,Vehicle Angle,VehicleID,VehiclePos,VehiclePos,Longitude,latitude
0,140.695093,veh0,5.1,4.8995,-6.261524,53.352844
1,140.695093,veh0,9.004634,3.904634,-6.261489,53.352816
2,140.695093,veh0,9.3538,0.349166,-6.261486,53.352814
3,140.695093,veh0,9.395467,0.041667,-6.261485,53.352814
4,140.695093,veh0,9.397758,0.002291,-6.261485,53.352814
5,140.695093,veh0,9.398578,0.00082,-6.261485,53.352813
6,140.695093,veh0,9.39886,0.000282,-6.261485,53.352813
7,140.695093,veh0,9.398967,0.000107,-6.261485,53.352813
8,142.324893,veh0,0.847202,1.848235,-6.26147,53.3528
9,148.857303,veh0,4.238047,3.390845,-6.261447,53.352772
10,150.315797,veh0,9.031345,4.793298,-6.261413,53.352734
11,158.99718,veh0,15.866789,6.835444,-6.26138,53.352676
12,160.69829,veh0,23.661201,7.794412,-6.261344,53.352609
13,162.39756,veh0,31.615721,7.95452,-6.261312,53.35254
14,163.404105,veh0,39.258009,7.642288,-6.261283,53.352473
15,163.302685,veh0,1.019137,4.381127,-6.261266,53.352433
16,163.053215,veh0,0.111719,6.702582,-6.261239,53.352373
17,163.02591,veh0,8.00669,7.894971,-6.261209,53.352304
18,163.028392,veh0,16.600674,8.593984,-6.261176,53.352229
19,163.080459,veh0,25.408853,8.808179,-6.261142,53.352153
20,159.189564,veh0,2.749287,8.660434,-6.261104,53.352079
21,139.839941,veh0,10.768143,8.018856,-6.261042,53.352018
22,94.707481,veh0,19.104108,8.335966,-6.260928,53.351998
23,70.239276,veh0,3.389384,7.655276,-6.260818,53.352016
24,67.139472,veh0,11.606252,8.216868,-6.260702,53.352042
25,66.937511,veh0,19.329329,7.723076,-6.260594,53.352067
26,66.562491,veh0,27.568555,8.239226,-6.260478,53.352094
27,66.562491,veh0,35.28095,7.712395,-6.26037,53.352119
28,66.562491,veh0,42.911107,7.630157,-6.260264,53.352144
29,66.678167,veh0,1.617061,8.085954,-6.26015,53.35217
30,67.300594,veh0,3.598222,8.311161,-6.260034,53.352196
31,67.44866,veh0,11.204588,7.606366,-6.259926,53.35222
32,67.44866,veh0,18.762407,7.557819,-6.25982,53.352244
33,67.44866,veh0,26.430224,7.667817,-6.259712,53.352268
34,67.44866,veh0,35.204859,8.774636,-6.259589,53.352295
35,67.44866,veh0,43.860689,8.655829,-6.259467,53.352322
36,67.44866,veh0,51.77684,7.916151,-6.259355,53.352347
37,67.44866,veh0,55.93203,4.15519,-6.259297,53.35236
38,68.02025,veh0,4.251472,6.209442,-6.259209,53.352379
39,68.120849,veh0,11.816498,7.565026,-6.259102,53.352402
40,68.651989,veh0,4.502411,7.735913,-6.258992,53.352425
41,68.710711,veh0,12.446149,7.943738,-6.25888,53.352448
42,68.710711,veh0,21.197927,8.751777,-6.258755,53.352474
43,68.710711,veh0,29.451638,8.253712,-6.258638,53.352498
44,68.738589,veh0,3.323736,7.532098,-6.258531,53.35252
45,68.738823,veh0,1.657922,7.744186,-6.258422,53.352543
46,68.710959,veh0,9.205004,7.547082,-6.258314,53.352565
47,68.710959,veh0,17.316151,8.111147,-6.258199,53.352589
48,68.710959,veh0,25.569436,8.253285,-6.258082,53.352613
49,68.688202,veh0,1.917751,7.908315,-6.25797,53.352636
50,68.662083,veh0,0.740618,8.222867,-6.257853,53.352661
50,72.995593,veh1,5.1,0,-6.257442,53.348779
51,68.722326,veh0,9.270223,8.529606,-6.257732,53.352686
